numericId,alphaId,symbol,offline
863,ALPHA_863,"REMXon",false
862,ALPHA_862,"PYPLon",false
861,ALPHA_861,"OXYon",false
860,ALPHA_860,"ONDSon",false
859,ALPHA_859,"NFLXon",false
858,ALPHA_858,"IRENon",false
857,ALPHA_857,"CVXon",false
856,ALPHA_856,"BMNRon",false
855,ALPHA_855,"ARMon",false
854,ALPHA_854,"USOon",false
853,ALPHA_853,"TSMon",false
852,ALPHA_852,"TQQQon",false
851,ALPHA_851,"SQQQon",false
850,ALPHA_850,"PDDon",false
849,ALPHA_849,"PALLon",false
848,ALPHA_848,"GLDon",false
847,ALPHA_847,"COPXon",false
846,ALPHA_846,"AVGOon",false
845,ALPHA_845,"AMDon",false
844,ALPHA_844,"ADBEon",false
843,ALPHA_843,"CHECK",false
838,ALPHA_838,"EDGE",false
836,ALPHA_836,"R2",false
837,ALPHA_837,"BASED",false
823,ALPHA_823,"PRL",false
822,ALPHA_822,"PLAY",false
495,ALPHA_495,"CYS",false
804,ALPHA_804,"UP",false
798,ALPHA_798,"SN3",false
772,ALPHA_772,"龙虾",false
771,ALPHA_771,"Freedom of Money",false
428,ALPHA_428,"LAB",false
439,ALPHA_439,"SIGMA",false
496,ALPHA_496,"AIA",false
498,ALPHA_498,"MAGMA",false
312,ALPHA_312,"IN",false
438,ALPHA_438,"BLUAI",false
790,ALPHA_790,"BSB",false
789,ALPHA_789,"IAUon",false
788,ALPHA_788,"BABAon",false
787,ALPHA_787,"MSTRon",false
786,ALPHA_786,"MUon",false
785,ALPHA_785,"PLTRon",false
784,ALPHA_784,"INTCon",false
783,ALPHA_783,"SLVon",false
782,ALPHA_782,"ORCLon",false
781,ALPHA_781,"COINon",false
780,ALPHA_780,"HOODon",false
778,ALPHA_778,"BTW",false
412,ALPHA_412,"LYN",false
483,ALPHA_483,"GUA",false
747,ALPHA_747,"SPYon",false
746,ALPHA_746,"QQQon",false
745,ALPHA_745,"TSLAon",false
744,ALPHA_744,"MSFTon",false
743,ALPHA_743,"METAon",false
742,ALPHA_742,"CRCLon",false
741,ALPHA_741,"AAPLon",false
740,ALPHA_740,"GOOGLon",false
739,ALPHA_739,"AMZNon",false
402,ALPHA_402,"TRUTH",false
267,ALPHA_267,"VELVET",false
709,ALPHA_709,"IP",false
692,ALPHA_692,"NVDAon",false
391,ALPHA_391,"COAI",false
488,ALPHA_488,"STABLE",false
683,ALPHA_683,"RNBW",false
258,ALPHA_258,"ICNT",false
466,ALPHA_466,"JCT",false
681,ALPHA_681,"WARD",false
669,ALPHA_669,"TRIA",false
638,ALPHA_638,"INX",false
637,ALPHA_637,"KIN",false
621,ALPHA_621,"PIGGY",false
620,ALPHA_620,"BIRB",false
474,ALPHA_474,"ARTX",false
406,ALPHA_406,"BTG",false
301,ALPHA_301,"NAORIS",false
334,ALPHA_334,"XPIN",false
611,ALPHA_611,"WMTX",false
610,ALPHA_610,"PENGUIN",false
589,ALPHA_589,"memes",false
606,ALPHA_606,"SPACE",false
604,ALPHA_604,"FIGHT",false
605,ALPHA_605,"SKR",false
588,ALPHA_588,"GWEI",false
581,ALPHA_581,"1",false
558,ALPHA_558,"哭哭马",false
587,ALPHA_587,"ACU",false
586,ALPHA_586,"ELSA",false
567,ALPHA_567,"ROLL",false
557,ALPHA_557,"FUN",false
556,ALPHA_556,"OWL",false
528,ALPHA_528,"雪球",false
520,ALPHA_520,"人生K线",false
554,ALPHA_554,"Sight",false
535,ALPHA_535,"黑马",false
533,ALPHA_533,"老子",false
526,ALPHA_526,"CAI",false
525,ALPHA_525,"DN",false
389,ALPHA_389,"BLESS",false
521,ALPHA_521,"我踏马来了",false
511,ALPHA_511,"ZTC",false
509,ALPHA_509,"ESIM",false
508,ALPHA_508,"AIAV",false
349,ALPHA_349,"Q",false
465,ALPHA_465,"TIMI",false
506,ALPHA_506,"COLLECT",false
459,ALPHA_459,"SENTIS",false
414,ALPHA_414,"KGEN",false
370,ALPHA_370,"UB",false
451,ALPHA_451,"BEAT",false
505,ALPHA_505,"TTD",false
503,ALPHA_503,"RTX",false
502,ALPHA_502,"VOOI",false
501,ALPHA_501,"LISA",false
500,ALPHA_500,"IR",false
499,ALPHA_499,"THQ",false
158,ALPHA_158,"AIOT",false
497,ALPHA_497,"RAVE",false
494,ALPHA_494,"US",false
493,ALPHA_493,"BTX",false
492,ALPHA_492,"LAVA",false
491,ALPHA_491,"DOYR",false
490,ALPHA_490,"WET",false
487,ALPHA_487,"POWER",false
283,ALPHA_283,"ESPORTS",false
245,ALPHA_245,"H",false
337,ALPHA_337,"TAKE",false
486,ALPHA_486,"RLS",false
209,ALPHA_209,"SQD",false
485,ALPHA_485,"GAIX",false
484,ALPHA_484,"VSN",false
477,ALPHA_477,"TOWN",false
199,ALPHA_199,"SOON",false
479,ALPHA_479,"IRYS",false
480,ALPHA_480,"BNBHolder",false
481,ALPHA_481,"恶俗企鹅",false
476,ALPHA_476,"KO",false
475,ALPHA_475,"DIGI",false
473,ALPHA_473,"BOB",false
472,ALPHA_472,"GAIB",false
471,ALPHA_471,"DGRAM",false
470,ALPHA_470,"PLAYSOLANA",false
469,ALPHA_469,"PIEVERSE",false
259,ALPHA_259,"CROSS",false
464,ALPHA_464,"ARIAIP",false
463,ALPHA_463,"ELIZAOS",false
462,ALPHA_462,"FOLKS",false
461,ALPHA_461,"UAI",false
460,ALPHA_460,"LONG",false
458,ALPHA_458,"TRUST",false
456,ALPHA_456,"TYCOON",false
455,ALPHA_455,"TITN",false
453,ALPHA_453,"LITKEY",false
452,ALPHA_452,"BAY",false
450,ALPHA_450,"NB",false
449,ALPHA_449,"BOS",false
447,ALPHA_447,"COMMON",false
445,ALPHA_445,"42",false
361,ALPHA_361,"AIO",false
162,ALPHA_162,"B2",false
444,ALPHA_444,"ON",false
442,ALPHA_442,"APR",false
437,ALPHA_437,"SVSA",false
171,ALPHA_171,"MYX",false
436,ALPHA_436,"RVV",false
195,ALPHA_195,"MERL",false
433,ALPHA_433,"ANOME",false
432,ALPHA_432,"RECALL",false
431,ALPHA_431,"WBAI",false
429,ALPHA_429,"CLO",false
425,ALPHA_425,"修仙",false
426,ALPHA_426,"哈基米",false
424,ALPHA_424,"CORL",false
423,ALPHA_423,"CDL",false
420,ALPHA_420,"客服小何",false
421,ALPHA_421,"PUP",false
418,ALPHA_418,"PIPE",false
417,ALPHA_417,"SLX",false
415,ALPHA_415,"KLINK",false
413,ALPHA_413,"PALU",false
411,ALPHA_411,"CYPR",false
408,ALPHA_408,"P",false
409,ALPHA_409,"EVAA",false
407,ALPHA_407,"4",false
403,ALPHA_403,"STRIKE",false
401,ALPHA_401,"VFY",false
399,ALPHA_399,"XAN",false
397,ALPHA_397,"MTP",false
220,ALPHA_220,"SERAPH",false
396,ALPHA_396,"LIGHT",false
395,ALPHA_395,"GOATED",false
394,ALPHA_394,"HANA",false
404,ALPHA_404,"GAIN",false
381,ALPHA_381,"RIVER",false
387,ALPHA_387,"NUMI",false
386,ALPHA_386,"FROGGIE",false
382,ALPHA_382,"AOP",false
384,ALPHA_384,"DL",false
383,ALPHA_383,"JOJO",false
377,ALPHA_377,"MAIGA",false
376,ALPHA_376,"STBL",false
375,ALPHA_375,"VLR",false
373,ALPHA_373,"ALEO",false
372,ALPHA_372,"ZEUS",false
371,ALPHA_371,"AA",false
368,ALPHA_368,"PINGPONG",false
366,ALPHA_366,"POP",false
364,ALPHA_364,"SWTCH",false
360,ALPHA_360,"SAROS",false
359,ALPHA_359,"STAR",false
356,ALPHA_356,"TRADOOR",false
355,ALPHA_355,"GATA",false
354,ALPHA_354,"U",false
352,ALPHA_352,"PTB",false
348,ALPHA_348,"FOREST",false
347,ALPHA_347,"WOD",false
346,ALPHA_346,"ZENT",false
345,ALPHA_345,"XLAB",false
341,ALPHA_341,"BLUM",false
340,ALPHA_340,"BTR",false
335,ALPHA_335,"DORA",false
332,ALPHA_332,"ARIA",false
331,ALPHA_331,"AKE",false
333,ALPHA_333,"YZY",false
328,ALPHA_328,"BAS",false
327,ALPHA_327,"DAM",false
326,ALPHA_326,"RICE",false
325,ALPHA_325,"WILD",false
324,ALPHA_324,"MLK",false
323,ALPHA_323,"TCOM",false
322,ALPHA_322,"PUBLIC",false
320,ALPHA_320,"OVL",false
319,ALPHA_319,"WAI",false
318,ALPHA_318,"SLAY",false
317,ALPHA_317,"XCX",false
316,ALPHA_316,"GAME",false
314,ALPHA_314,"K",false
313,ALPHA_313,"X",false
311,ALPHA_311,"FIR",false
309,ALPHA_309,"SUP",false
307,ALPHA_307,"DARKSTAR",false
306,ALPHA_306,"CYC",false
305,ALPHA_305,"MM",false
303,ALPHA_303,"TOSHI",false
302,ALPHA_302,"MIA",false
