rawSymbol,ca,type,cacheHas,alphaIdByCa,cacheSize
60,"0x0a48f85a3905cfa49a652bdb074d9e9fabad27892d54afaa5c9e0adeb7ac3cdf::swarm_network_token::swarm_network_token",alpha-full,false,60,403
110,"0x940181a94a35a4569e4529a3cdfb74e38fd98631",alpha-full,false,110,403
101,"0x4829a1d1fb6ded1f81d26868ab8976648baf9893",alpha-full,false,101,403
101,"0x0c69199c1562233640e0db5ce2c399a88eb507c7",alpha-full,false,101,403
101,"0x53ec33cd4fa46b9eced9ca3f6db626c5ffcd55cc",alpha-full,false,101,403
101,"0x1d28d989f9e3ccb8b15d0cec601734514f958e4d",alpha-full,false,101,403
101,"0xda7ad9dea9397cffddae2f8a052b82f1484252b3",alpha-full,false,101,403
101,"0x9123400446a56176eb1b6be9ee5cf703e409f492",alpha-full,false,101,403
61,"0xbfe78de7d1c51e0868501d5fa3e88e674c79acdd",alpha-full,false,61,403
101,"0x595e21b20e78674f8a64c1566a20b2b316bc3511",alpha-full,false,101,403
101,"0x4fa7c69a7b69f8bc48233024d546bc299d6b03bf",alpha-full,false,101,403
110,"0xacfe6019ed1a7dc6f7b508c02d1b04ec88cc21bf",alpha-full,false,110,403
110,"9BB6NFEcjBCtnNLFko2FqVQBq8HHM13kCyYcdQbgpump",alpha-full,false,110,403
11,"0x0c808f0464c423d5ea4f4454fcc23b6e2ae75562",alpha-full,false,11,403
101,"0xe6df05ce8c8301223373cf5b969afcb1498c5528",alpha-full,false,101,403
11,"0x899357e54c2c4b014ea50a9a7bf140ba6df2ec73",alpha-full,false,11,403
0,"0x8993129d72e733985f7f1a00396cbd055bad6f817fee36576ce483c8bbb8b87b::sudeng::sudeng",alpha-full,false,0,403
110,"5UUH9RTDiSpq6HKS6bp4NdU9PNJpXRXuiw6ShBTBhgH2",alpha-full,false,110,403
61,"0xf74548802f4c700315f019fde17178b392ee4444",alpha-full,false,61,403
101,"0x595deaad1eb5476ff1e649fdb7efc36f1e4679cc",alpha-full,false,101,403
60,"0x1f16e03c1a5908818f47f6ee7bb16690b40d0671",alpha-full,false,60,403
101,"0x6bc3855827fa6ee1229c937a26bb9fca1a0ffbf0",alpha-full,false,101,403
101,"0x299ad4299da5b2b93fba4c96967b040c7f611099",alpha-full,false,101,403
101,"0x5dbde81fce337ff4bcaaee4ca3466c00aecae274",alpha-full,false,101,403
101,"0x000008d2175f9aeaddb2430c26f8a6f73c5a0000",alpha-full,false,101,403
61,"0x208bf3e7da9639f1eaefa2de78c23396b0682025",alpha-full,false,61,403
11,"0x8fce7206e3043dd360f115afa956ee31b90b787c",alpha-full,false,11,403
11,"0x81a7da4074b8e0ed51bea40f9dcbdf4d9d4832b4",alpha-full,false,11,403
101,"0x9dc44ae5be187eca9e2a67e33f27a4c91cea1223",alpha-full,false,101,403
61,"0xe747e54783ba3f77a8e5251a3cba19ebe9c0e197",alpha-full,false,61,403
61,"0x95034f653d5d161890836ad2b6b8cc49d14e029a",alpha-full,false,61,403
61,"0xc23db46993f643f1fa0494cd30f9f43505885d84",alpha-full,false,61,403
61,"0x302dfaf2cdbe51a18d97186a7384e87cf599877d",alpha-full,false,61,403
